date,venue
1969-02-11,Fillmore East New York NY
1970-05-08,Harpur College Binghamton NY
1977-05-08,Barton Hall Ithaca NY
1989-10-09,Hampton Coliseum Hampton VA
1995-07-09,Soldier Field Chicago IL
